type,x,y
G,0.1,0.1
G,0.2,0.2
G,0.3,0.3
G,0.4,0.4
G,0.5,0.5
G,0.6,0.6
G,0.7,0.7
G,0.8,0.8
G,0.9,0.9
G,1,1
G,1.1,1.1
G,1.2,1.2
G,1.3,1.3
G,1.4,1.4
G,1.5,1.5
G,1.6,1.6
G,1.7,1.7
G,1.8,1.8
G,1.9,1.9
G,2,2
G,2.1,2.1
G,2.2,2.2
G,2.3,2.3
G,2.4,2.4
G,2.5,2.5
G,2.6,2.6
G,2.7,2.7
G,2.8,2.8
G,2.9,2.9
G,3,3
G,3.1,3.1
G,3.2,3.2
G,3.3,3.3
G,3.4,3.4
G,3.5,3.5
G,3.6,3.6
G,3.7,3.7
G,3.8,3.8
G,3.9,3.9
G,4,4
G,4.1,4.1
G,4.2,4.2
G,4.3,4.3
G,4.4,4.4
G,4.5,4.5
G,4.6,4.6
G,4.7,4.7
G,4.8,4.8
G,4.9,4.9
G,5,5
G,5.1,5.1
G,5.2,5.2
G,5.3,5.3
G,5.4,5.4
G,5.5,5.5
G,5.6,5.6
G,5.7,5.7
G,5.8,5.8
G,5.9,5.9
G,6,6
G,6.1,6.1
G,6.2,6.2
G,6.3,6.3
G,6.4,6.4
G,6.5,6.5
G,6.6,6.6
G,6.7,6.7
G,6.8,6.8
G,6.9,6.9
G,7,7
G,7.1,7.1
G,7.2,7.2
G,7.3,7.3
G,7.4,7.4
G,7.5,7.5
G,7.6,7.6
G,7.7,7.7
G,7.79999,7.79999
G,7.89999,7.89999
G,7.99999,7.99999
G,8.09999,8.09999
G,8.2,8.2
G,8.3,8.3
G,8.4,8.4
G,8.5,8.5
G,8.6,8.6
G,8.7,8.7
G,8.8,8.8
G,8.9,8.9
G,9,9
G,9.1,9.1
G,9.2,9.2
G,9.3,9.3
G,9.4,9.4
G,9.5,9.5
G,9.6,9.6
G,9.7,9.7
G,9.8,9.8
G,9.9,9.9
G,10,10
L,0.029393,0.0294063
L,0.0293932,0.0294066
L,0.0293942,0.0294085
L,0.0293971,0.0294138
L,0.0294027,0.029424
L,0.0294119,0.0294409
L,0.0294256,0.0294661
L,0.0294448,0.0295012
L,0.0294703,0.0295479
L,0.0295031,0.0296079
L,0.029544,0.0296828
L,0.029594,0.0297743
L,0.0296539,0.0298841
L,0.0297247,0.0300138
L,0.0298073,0.030165
L,0.0299025,0.0303395
L,0.0300114,0.0305388
L,0.0301346,0.0307637
L,0.0302731,0.0310145
L,0.0304274,0.0312913
L,0.0305984,0.0315943
L,0.0307869,0.0319236
L,0.0309935,0.0322795
L,0.0312191,0.0326621
L,0.0314644,0.0330715
L,0.0317302,0.0335079
L,0.0320172,0.0339716
L,0.0323262,0.0344627
L,0.0326579,0.0349813
L,0.0330131,0.0355276
L,0.0333926,0.0361018
L,0.0337971,0.0367041
L,0.0342272,0.0373345
L,0.0346833,0.0379932
L,0.0351657,0.0386802
L,0.0356747,0.0393954
L,0.0362105,0.0401388
L,0.0367734,0.0409106
L,0.0373638,0.0417106
L,0.037982,0.042539
L,0.0386282,0.0433957
L,0.0393027,0.0442808
L,0.0400058,0.0451943
L,0.0407378,0.0461361
